genename.genes	logFC	logCPM	LR	PValue	qvalue
0610007C21Rik	-0.658697039456059	5.58974769875094	19.0441345083948	1.277297703955e-05	3.74433777228465e-05
0610007L01Rik	1.63282876436083	6.78189308662553	165.726414672218	6.34787472006669e-38	2.48966557363039e-36
0610007P08Rik	0.554697793843091	5.77468323517395	20.458335476731	6.09435547207526e-06	1.84489895164728e-05
0610007P14Rik	0.488495218268364	4.75513223342126	14.8652043516452	0.000115473487745482	0.000305484109027365
0610007P22Rik	1.1102083281578	5.01427221303301	65.1530735854863	6.93002749156512e-16	4.94893870768867e-15
0610009D07Rik	1.22294520965423	5.80300915348989	76.4151946007114	2.29875724366695e-18	1.97678900172721e-17
0610009L18Rik	-2.10882574064872	2.38487066069675	59.0673827066827	1.5236401928354e-14	9.74200995062497e-14
0610010F05Rik	0.330749087782745	4.67705098379573	7.03639090311797	0.00798698193765622	0.0166852516984123
0610010K14Rik	0.56053749758136	4.61046699177826	14.2448259922419	0.00016050144735096	0.000418432729916841
0610010O12Rik	1.33112278268548	4.71172979807241	46.3382150463965	9.95041903444198e-12	5.07284315653189e-11
0610011F06Rik	-0.956226169034615	4.71543868665821	34.9372428063714	3.40505073041563e-09	1.39991714074659e-08
0610011L14Rik	1.06207662114862	5.27884441391253	79.9040580414969	3.93038504636646e-19	3.59983124633844e-18
0610012H03Rik	-2.63800843344266	-1.65529381924728	11.9039960062865	0.000560136511376375	0.00137791103318449
0610031J06Rik	-1.11559052908353	5.88034258584567	76.2161536848611	2.54253353831989e-18	2.17548521835928e-17
0610037L13Rik	0.382821685606529	6.0500039984295	13.3782673507024	0.00025455678154313	0.000650894987691863
0910001L09Rik	-0.683317619076843	4.44604124635092	14.7617058175629	0.000121987834093934	0.000321837163908043
1110001A16Rik	-1.17470235027226	2.91091662782423	25.8677993892889	3.65617635954414e-07	1.24264175276696e-06
1110002B05Rik	-0.337113115673045	6.5157998708468	7.86931790305164	0.00502806160077945	0.0108420473071011
1110002E22Rik	-1.86238052489786	3.14036645395975	29.6884081232708	5.07373130147516e-08	1.87611633991029e-07
1110002L01Rik	-0.423414207302161	3.53211367563682	7.07010239734491	0.00783807758529105	0.0163957453994641
1110002N22Rik	0.939260195147463	3.22297639151961	25.9472793828702	3.50869571758448e-07	1.19617316215919e-06
1110003E01Rik	-1.35925448717623	6.83612194003799	115.027908311642	7.75976754235297e-27	1.28203351119499e-25
1110003O08Rik	-0.89251291966221	4.13980070658023	31.3972018735647	2.1028373766065e-08	8.06952503554362e-08
1110004E09Rik	0.915754670199196	4.61410919739176	42.4498223493497	7.25189994325472e-11	3.44810243613638e-10
1110004F10Rik	0.685992831533059	6.61347351066956	42.2621139507531	7.98240296999259e-11	3.77927777829881e-10
1110005A03Rik	-0.623605801475831	4.01535180700405	12.9117245516591	0.000326530304143367	0.000824969427805066
1110006G14Rik	-2.56159990330004	-2.2004814759611	7.47487061676446	0.00625660613035214	0.0133104761433819
1110007C09Rik	1.02041026524635	4.60553665361577	36.9919766815981	1.18616337672642e-09	5.08636736823027e-09
1110008F13Rik	1.39266685751902	5.5937971718449	85.834838313759	1.95609448841448e-20	1.97677509173608e-19
1110008J03Rik	-0.612227321135987	3.03616993001814	9.10556439076503	0.0025483307476119	0.00572827040992554
1110008P14Rik	1.72147737897921	3.10526327109393	36.4666850113681	1.55298037931403e-09	6.57562408133767e-09
1110012D08Rik	0.425954983657791	6.01690713700972	6.5623900541597	0.0104156381452047	0.0213891366767995
1110012J17Rik	2.82824753055816	4.09241516130259	88.7701508883371	4.43457060924409e-21	4.69599910516048e-20
1110012L19Rik	-1.4130807672814	3.74730924909738	58.8705141140425	1.68396908013673e-14	1.0739347405816e-13
1110014N23Rik	-0.281774727333439	5.48143260765892	6.81029469938239	0.00906338057240666	0.0187769198033519
1110017F19Rik	-2.30110305393308	0.972330455158624	19.6827294202999	9.14239014096537e-06	2.71766437581591e-05
1110018G07Rik	0.552277757183742	6.02889368600115	27.0607545927269	1.97160265165926e-07	6.88758676240744e-07
1110018J18Rik	-2.36524578271324	5.8557306221381	140.134668380051	2.48751082232164e-32	6.27179882843408e-31
1110020G09Rik	-2.78815220016723	4.64560765534559	182.134624941701	1.65714275429771e-41	8.5304492060353e-40
1110021J02Rik	-0.726049630048642	3.75520705763054	15.4334449977719	8.54623019686044e-05	0.000229364068450136
1110021L09Rik	-1.88934452111161	4.31534461864765	138.454388252957	5.79717321649411e-32	1.41823474134649e-30
1110028C15Rik	-1.62375580931742	5.15413081873983	123.982872721961	8.49739077839246e-29	1.65613476012175e-27
1110032A03Rik	-1.75713221270693	3.72343082364553	66.9722967142788	2.75349466282302e-16	2.03091921432366e-15
1110032A04Rik	-3.97042405382205	-1.06240341809511	26.1540955238325	3.1522780792276e-07	1.0789650596562e-06
1110032F04Rik	-0.962289613993356	-0.449789506704979	6.30730372518423	0.0120241565192582	0.0244127812174987
1110034A24Rik	0.779252522152684	3.6608554699164	21.4048993464176	3.71819851756516e-06	1.14824744665483e-05
1110034B05Rik	0.51118643037399	3.88278747618319	11.9601777894971	0.000543496845311328	0.00133890360540969
1110034G24Rik	-1.24730869652459	3.23139763509135	37.9238800839748	7.35593255472324e-10	3.21188352939202e-09
1110037F02Rik	0.588859352570083	6.59264071282385	30.8304498026425	2.81584630373255e-08	1.06657792714026e-07
1110038F14Rik	0.747102608748981	4.88205154724316	37.3266000441411	9.99125107622124e-10	4.31595651579269e-09
1110049F12Rik	0.492064734858978	5.05088204053687	13.6284343849519	0.000222785579081647	0.000573017083925244
1110051M20Rik	-1.00472770720164	4.58587166432377	39.4093092855304	3.43654713546712e-10	1.54668964174292e-09
1110054O05Rik	0.890251729777511	5.08238398848473	57.9352886653227	2.70883817161386e-14	1.696399415949e-13
1110058L19Rik	-1.56118963808594	3.18441619522278	38.2399140566207	6.25595945027053e-10	2.75212712670853e-09
1110059E24Rik	-0.477085806195319	5.48792178054207	11.1919432388097	0.000821532628795976	0.00198233969174967
1190002H23Rik	0.815740341486717	2.29014201936531	5.46357991109832	0.0194168266809977	0.037919679611138
1190002N15Rik	-0.644463115445286	5.30949418293498	17.4900022138258	2.88822522416607e-05	8.14667079337962e-05
1190003J15Rik	2.23603263703354	2.46322587282453	37.3817484725606	9.71268239831769e-10	4.19806863311543e-09
1190005F20Rik	-0.370111810942043	4.98158853961941	9.96748476938507	0.00159329004116869	0.00368618226545041
1190007I07Rik	-1.43551533561378	1.80538566453617	27.9243259518614	1.26153752787984e-07	4.4908070345753e-07
1200009I06Rik	-2.00530076856064	3.00304909298445	54.7602112211658	1.36169862246647e-13	8.03434703274324e-13
1200011M11Rik	1.20782427706868	4.95978003825583	93.5236023561622	4.01385411948439e-22	4.6153096126729e-21
1200014J11Rik	0.744389718508918	5.32828472647451	49.0065845844812	2.55104688523588e-12	1.36897154039275e-11
1200016B10Rik	-0.560251346960551	5.35057354144542	17.6114846949154	2.70947135058813e-05	7.66873156349481e-05
1300001I01Rik	2.18820467614272	7.47162603231659	290.047450650338	4.85531320851726e-65	1.74149121179043e-62
1300010F03Rik	-0.729551167706384	5.88902510823253	33.8157848932567	6.05852884361467e-09	2.42931057382443e-08
1300014I06Rik	0.511532657684026	2.79418932274312	5.05342580206165	0.0245772990032138	0.0471488936536808
1300018I17Rik	-0.281174288500953	5.17970044185244	7.0739768175836	0.00782114705150182	0.0163649480740777
1500001M20Rik	1.26315060747902	3.55883511341705	54.7660970178061	1.35762666313841e-13	8.01244738186623e-13
1500002O20Rik	0.370496637552642	4.6397505265793	10.3013396422811	0.00132933669762122	0.003104577765354
1500009L16Rik	-1.87761841040752	0.884002117148833	26.8990284897474	2.14366611258805e-07	7.45771534496077e-07
1500010J02Rik	-1.46932898242313	5.44448637061653	76.0977139909483	2.69969632227722e-18	2.30552407122891e-17
1500012F01Rik	1.30343816628304	5.9834872025627	33.5731583779146	6.86333304774706e-09	2.73868294124886e-08
1500015O10Rik	-1.65015347988866	0.716943436009562	20.3657977101654	6.39628421662601e-06	1.93287903803953e-05
1500031L02Rik	-1.57509731489465	4.04764850341991	69.0847645836228	9.4321181247049e-17	7.20795336278995e-16
1500032L24Rik	0.726474688497664	5.19879816887882	24.3515280464192	8.02630517313205e-07	2.64702616698963e-06
1500035N22Rik	-3.69337892045539	-2.89264295873623	6.67597157304905	0.00977212302666347	0.0201488820307783
1520402A15Rik	-0.591645533475412	4.9427295699981	18.0735329998025	2.12535338711697e-05	6.09067121426638e-05
1600012F09Rik	1.60842473167039	4.81366740478604	115.114035910162	7.42996078179144e-27	1.22937104066576e-25
1600016N20Rik	-1.98243491505532	1.66758737120196	44.0857092096395	3.14307285196104e-11	1.54023036760488e-10
