genename	ART_1	ART_2	ART_3	ART_4	ART_5	ART_6	ART_7	ART_8	ART_9	ART_10	ART_11	ART_12	ART_13	ART_14	ART_15	ART_16	ART_17	ART_18	ART_19	ART_20	ART_21	ART_22	ART_23	ART_24
0610007C21Rik	1255	1245	1187	1207	1233	736	553	851	1397	1528	1464	1061	1388	1020	940	1022	557	622	732	716	1009	1068	1278	1416
0610007L01Rik	1621	1463	1388	1441	6498	2445	3786	3009	1630	1374	1578	1813	1874	1430	1316	1343	3835	4040	4563	5191	1648	1723	1782	1999
0610007P08Rik	1146	979	1021	1273	1866	1115	1143	1193	1192	826	1226	1221	1162	936	957	864	1185	1146	1600	1593	1161	1397	1405	1552
0610007P14Rik	494	443	421	454	804	470	471	455	700	640	725	620	607	447	436	549	709	586	741	663	621	723	740	785
0610007P22Rik	726	564	512	555	1698	651	862	685	553	561	565	538	654	465	447	514	939	1013	1047	1271	559	571	672	646
0610009B22Rik	303	221	194	235	223	140	133	137	253	309	319	234	267	233	195	245	191	185	180	208	247	272	281	322
0610009D07Rik	1047	819	843	864	2772	1214	1569	1226	1045	1268	1073	1074	942	755	656	847	1740	1601	1725	2008	980	1070	1226	1319
0610009L18Rik	233	150	172	146	76	57	22	38	123	125	176	94	189	159	155	140	34	38	25	45	126	135	153	125
0610009O20Rik	2008	1533	1599	1554	2489	1270	1129	1294	1454	1125	1544	1463	1914	1576	1506	1547	1370	1419	1430	1676	1500	1592	1808	1713
0610010F05Rik	430	548	495	589	1101	512	582	604	433	313	520	473	574	498	473	560	584	545	670	726	511	583	728	646
0610010K14Rik	496	451	421	420	985	524	446	507	497	611	553	450	560	442	369	485	649	626	632	670	495	518	517	612
0610010O12Rik	432	370	320	376	1208	441	679	412	441	705	511	523	453	412	401	380	1044	1023	855	999	414	441	470	490
0610011F06Rik	772	475	613	552	609	379	270	345	822	902	893	700	684	554	518	588	292	271	264	318	689	701	848	845
0610011L14Rik	764	652	657	632	2054	852	1010	851	769	645	786	659	735	607	517	618	1103	1201	1275	1317	642	713	829	864
